participantcode,participantlabel,payoff_final,sessionlabel,location,task,treatment,id_in_group,round,role,correct,cheat,whistle,group_id,role_group,output_employees,output_firm,surplus_firm,winning_firm,payoff,cheaters,whistlers,payoff_total,payoff_game,belief_cheat,total_cheaters,belief_whistle,total_whistlers,payoff_beliefs,morality_manager,morality_employee,morality_public,firm_loyalty,payoff_judgements,risk,payoff_risk,svo,payoff_svo,age,study,gender
01ihaazc,PC15,8.6999998,Session 13,0,1,0,1,1,public,6,0,0,4,public,0,0,0,0,120,0,2,865,580,16,1,20,20,20,-1,0,-2,1,40,0,140,28.549999,85,19,1,0
01ihaazc,PC15,8.6999998,Session 13,0,1,0,2,2,employee,6,0,0,1,firm,12,24,240,0,180,0,2,865,580,16,1,20,20,20,-1,0,-2,1,40,0,140,28.549999,85,19,1,0
01ihaazc,PC15,8.6999998,Session 13,0,1,0,1,3,public,6,0,0,4,public,0,0,0,0,100,1,1,865,580,16,1,20,20,20,-1,0,-2,1,40,0,140,28.549999,85,19,1,0
01ihaazc,PC15,8.6999998,Session 13,0,1,0,2,4,employee,6,0,0,2,firm,12,24,240,0,180,0,2,865,580,16,1,20,20,20,-1,0,-2,1,40,0,140,28.549999,85,19,1,0
01ihaazc,PC15,8.6999998,Session 13,0,1,0,1,5,public,6,0,0,4,public,0,0,0,0,120,0,3,865,580,16,1,20,20,20,-1,0,-2,1,40,0,140,28.549999,85,19,1,0
01ihaazc,PC15,8.6999998,Session 13,0,1,0,2,6,employee,6,0,0,3,firm,12,24,240,0,180,0,2,865,580,16,1,20,20,20,-1,0,-2,1,40,0,140,28.549999,85,19,1,0
01ihaazc,PC15,8.6999998,Session 13,0,1,0,1,7,public,6,0,0,4,public,0,0,0,0,120,0,0,865,580,16,1,20,20,20,-1,0,-2,1,40,0,140,28.549999,85,19,1,0
01ihaazc,PC15,8.6999998,Session 13,0,1,0,2,8,employee,6,0,0,1,firm,12,24,240,0,180,0,2,865,580,16,1,20,20,20,-1,0,-2,1,40,0,140,28.549999,85,19,1,0
01ihaazc,PC15,8.6999998,Session 13,0,1,0,1,9,public,6,0,0,4,public,0,0,0,0,120,0,1,865,580,16,1,20,20,20,-1,0,-2,1,40,0,140,28.549999,85,19,1,0
01ihaazc,PC15,8.6999998,Session 13,0,1,0,2,10,employee,6,0,0,2,firm,12,24,240,0,180,0,2,865,580,16,1,20,20,20,-1,0,-2,1,40,0,140,28.549999,85,19,1,0
